,Model,Scenario,Region,Variable,Unit,Year,Value,OMCOST_p,FUELCOST_p,CAPCOST_p,OMCOST_MWh,CAPCOST_MWh,FUELCOST_MWh,CostTotal
238,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Fossils,EJ/yr,2060,3.14551984377626,4.7037055479,0.0,95.29629445209999,inf,inf,,inf
239,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Fossils,EJ/yr,2070,0.7751610873999999,4.8370387327,0.0,95.16296126729999,inf,inf,,inf
240,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Fossils,EJ/yr,2080,0.34774626200000003,0.6849774725,86.3362232945,12.978799233,2.0917901227,39.634769212100004,263.6543044933,305.3808638281
241,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Fossils,EJ/yr,2090,0.1830612234,4.8025443036,0.0,95.1974556964,inf,inf,,inf
242,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Fossils,EJ/yr,2100,0.1308588227,4.9462757882,0.0,95.0537242118,inf,inf,,inf
243,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Renewables,EJ/yr,2020,9.76633393879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Renewables,EJ/yr,2030,25.8563698488,3.2982289383,2.4614572272,94.24031383450001,0.7991047822,22.8328253954,0.5963692267,24.2282994043
245,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Renewables,EJ/yr,2040,43.4545524381,3.1555444188,0.0,96.84445558120001,0.7403565623999999,22.7217299794,0.0,23.462086541799998
246,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Renewables,EJ/yr,2050,56.1126208304,2.4320407081,3.4764770391,94.0914822528,0.6272945126,24.26894842,0.8966852251,25.7929281577
247,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Renewables,EJ/yr,2060,66.0986518925,2.6938929514,2.9139961761,94.3921108725,0.6168277998,21.613211480500002,0.6672254177,22.897264698
248,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Renewables,EJ/yr,2070,83.1357090086,2.7616582231,1.9814989523,95.25684282459999,0.6933829547,23.9165985779,0.4975045742,25.1074861068
249,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Renewables,EJ/yr,2080,94.64521831219999,2.7269147368,5.3004388632,91.9726464001,0.7688593348999999,25.931880741,1.4944698653,28.1952099412
250,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Renewables,EJ/yr,2090,111.4605538865,2.9780310295,3.6562603567000003,93.3657086139,0.8181896205,25.6514633123,1.00452757,27.4741805028
251,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Renewables,EJ/yr,2100,127.4309639605,2.6105509394,4.0376230348,93.3518260258,0.7159529653,25.602073359000002,1.1073326097,27.425358934000002
252,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Fossils,EJ/yr,2020,6.9932384797000005,0.0,0.0,0.0,,,,
253,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Fossils,EJ/yr,2030,7.641786219299999,0.9323172331,86.27999569049999,12.787687076300001,0.3268624172,4.4832532954,30.2490256991,35.0591414117
254,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Fossils,EJ/yr,2040,11.195173428399999,1.3082118743,79.9604310617,18.7313570641,0.7689376368999999,11.0098721164,46.99895033510001,58.777760088400015
255,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Fossils,EJ/yr,2050,12.90181339227,0.33729307020000004,94.98216374709999,4.6805431827,0.2488781329,3.4536281683,70.0844033259,73.7869096271
256,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Fossils,EJ/yr,2060,12.726382916010001,0.3059388684,95.48106452639999,4.2129966051,0.3698143334,5.0926073528,115.4160842832,120.8785059694
257,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Fossils,EJ/yr,2070,10.2294786313984,4.8427494597,2.40209265,92.75515789030001,455.0557350787,8715.8683113746,225.7159998984,9396.6400463517
258,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Fossils,EJ/yr,2080,0.91193814174,4.7826411238999995,0.0,95.21735887610001,inf,inf,,inf
259,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Fossils,EJ/yr,2090,0.0,5.0491874644,0.0,94.9508125356,inf,inf,,inf
260,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Fossils,EJ/yr,2100,0.0,5.190233882699999,0.0,94.8097661173,inf,inf,,inf
261,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Renewables,EJ/yr,2020,1.131714027614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Renewables,EJ/yr,2030,4.331538678144,4.4586426554,0.0,95.54135734459999,0.9360812429,20.058676921700002,0.0,20.9947581646
263,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Renewables,EJ/yr,2040,8.681919680610001,3.9285354965,0.0,96.07146450350001,0.8431602942,20.6192980423,0.0,21.4624583365
264,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Renewables,EJ/yr,2050,15.62888493752,4.0135975843,0.0,95.9864024157,0.8095323149,19.360210613299998,0.0,20.169742928199998
265,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Renewables,EJ/yr,2060,28.7736446288,3.8192874575,0.9284966834,95.2522158591,0.6914031096,17.243446315899998,0.1680851471,18.1029345726
266,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Renewables,EJ/yr,2070,47.879229881,3.7766442272000003,0.0,96.2233557728,0.7987064901,20.3498699198,0.0,21.1485764099
267,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Renewables,EJ/yr,2080,76.22744645099999,3.6609890135,0.0,96.3390109865,0.8014113354000001,21.0891579201,0.0,21.8905692555
268,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Renewables,EJ/yr,2090,100.848054957,3.5516441998,0.0,96.4483558002,0.8894324049,24.1534028237,0.0,25.042835228599998
269,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Middle East + Africa,Renewables,EJ/yr,2100,134.9901492019,3.4615691372,0.0,96.53843086280001,0.9342013757,26.053599206199998,0.0,26.987800581899997
270,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Fossils,EJ/yr,2020,2.85821650737,0.0,0.0,0.0,,,,
271,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Fossils,EJ/yr,2030,1.82592432648,1.4154869641999999,81.1843517663,17.4001612695,0.5541160408,6.8115840811,31.7809720016,39.1466721235
272,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Fossils,EJ/yr,2040,2.5121875679600003,0.9337351281,83.6258455232,15.440419348699999,0.5211023905,8.6170469456,46.6702244588,55.8083737949
273,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Fossils,EJ/yr,2050,1.4445784191799995,0.6226692999,89.8760427058,9.5012879943,0.5164732320000001,7.8808460911,74.5477097704,82.94502909350001
274,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Fossils,EJ/yr,2060,0.807610510940482,4.8944360323,0.0450704734,95.0604934944,13417.4210154706,260595.22583184802,123.55448358860001,274136.20133090724
275,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Fossils,EJ/yr,2070,0.5570998958,4.8567059036,0.0,95.1432940964,inf,inf,,inf
276,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Fossils,EJ/yr,2080,0.5076196124,0.47161725979999997,91.1314359011,8.3969468391,1.3339468472,23.750362249400002,257.7609048175,282.8452139141
277,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Fossils,EJ/yr,2090,0.1486444836,0.0,0.0,0.0,,,,0.0
278,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Fossils,EJ/yr,2100,0.0,4.9206838598000004,0.0,95.0793161402,inf,inf,,inf
279,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Renewables,EJ/yr,2020,3.1446775092143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Latin America,Renewables,EJ/yr,2030,6.23858413868,4.688700283,0.396046334,94.91525338299999,1.0155005212,20.5571871651,0.0857775576,21.6584652439
