,Model,Scenario,Region,Variable,Unit,Year,Value,OMCOST_p,FUELCOST_p,CAPCOST_p,OMCOST_MWh,CAPCOST_MWh,FUELCOST_MWh,FUELCOST_NoC_MWh,CARBONCOST_MWh,CostTotal_MWh,OMCOST,CAPCOST,FUELCOST,FUELCOST_NoC,CARBONCOST,CostTotal,Value_diff,CostTotal_MWh_diff,CostTotal_diff,OMCOST_MWh_diff,OMCOST_diff,CAPCOST_MWh_diff,CAPCOST_diff,FUELCOST_MWh_diff,FUELCOST_diff,CARBONCOST_MWh_diff,CARBONCOST_diff
22,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Fossils,EJ/yr,2060,52.6376513887,2.2349774607,67.014986674,30.750035865300003,4.655411136100001,41.7195391032,29.5965156315,29.5933947057,0.0031209258000000004,75.9714658708,64512.139341490896,578126.53731167,410132.31369089795,410089.065609435,43.248081462399995,1052770.99034406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Fossils,EJ/yr,2070,59.16745608,2.6001305271,62.0784343652,35.3214351077,5.4116166464,48.065129775600006,32.2958957364,32.2909852588,0.0049104776,85.7726421584,74750.916545585,663925.9096397021,446104.734440649,446036.905781884,67.8286587652,1184781.56062594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Fossils,EJ/yr,2080,61.1584366,1.8914117946,72.2789158149,25.8296723905,5.648427505700001,50.6050389047,36.794732269499995,36.7943261062,0.0004061632,93.0481986799,80577.7060304127,721906.7509331859,524895.666499702,524889.872373403,5.7941262988,1327380.1234633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Fossils,EJ/yr,2090,66.07680301,1.8271274069999999,72.612568193,25.5603044,5.5630375753,50.5676616116,36.6636348551,36.6630384291,0.0005964261,92.794334042,85727.4844833286,779257.441192267,564993.7009438539,564984.509902428,9.1910414267,1429978.62661945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Fossils,EJ/yr,2100,67.18053664,1.6552756012,75.5690690833,22.775655315500003,5.2667968587,48.855415719899995,41.4911729895,41.4870149058,0.0041580836,95.6133855681,90943.3140720417,843600.680856739,716440.15853132,716368.359691073,71.7988402474,1650984.1534601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Renewables,EJ/yr,2020,9.7663339388,3.420292794,22.260153086,74.3195541199,9.887130091900001,103.90822305639999,12.7175063231,#WERT!,0.0,126.51285947139999,27116.837080857702,284982.834228755,34879.539748396404,#WERT!,0.0,346979.211058009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Renewables,EJ/yr,2030,14.2971041672,4.8830358056,0.0,95.11696419440001,9.356920041699999,98.68938015799999,1.4118963345,#WERT!,0.0,109.4581965342,37653.204531517,397136.172971838,5681.6154484605,#WERT!,0.0,440470.992951815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Renewables,EJ/yr,2040,19.0456755718,3.8300704219,2.3105143837,93.8594151944,8.9237482464,98.6593112558,0.7377568312999999,#WERT!,0.0,108.3208163335,45459.479781781105,502591.606292661,3758.290891812,#WERT!,0.0,551809.376966254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Renewables,EJ/yr,2050,24.7392583132,3.7402926189,2.0081967675,94.2515106136,8.3732456766,99.3303469114,0.8257478176999999,#WERT!,0.0,108.5293404057,56387.1192563454,668910.5196938029,5560.7517649466,#WERT!,0.0,730858.390715095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Renewables,EJ/yr,2060,30.651845555100003,3.2458829166000003,1.3055720172,95.44854506629999,7.9546829491999995,109.3712341455,1.1297024943,#WERT!,0.0,118.455619589,67489.8098040535,927936.8942374,9584.719713027,#WERT!,0.0,1005011.42375448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
