,Model,Scenario,Region,Year,CAPCOST,OMCOST,FUELCOST,CAPCOST_MWh,OMCOST_MWh,FUELCOST_MWh,CAPCOST_p,OMCOST_p,FUELCOST_p,Variable
110,CD_Links_SSP2_v2,NPi_v3,Latin America,2020,70411.2780009998,9568.5321383526,13053.477612394,48.8261586192,6.6352249413,9.051833549,75.68396184,10.28506287,14.03097529,Aggregate
111,CD_Links_SSP2_v2,NPi_v3,Latin America,2030,96010.7567568558,12208.6723082222,21074.5889468822,46.7169379432,5.9404988134,10.2544787404,74.25769439,9.44256548,16.29974014,Aggregate
112,CD_Links_SSP2_v2,NPi_v3,Latin America,2040,129051.203025966,15716.4296845237,31659.5408561304,48.414729486,5.8961611656,11.8773639475,73.14701042,8.90816838,17.94482121,Aggregate
113,CD_Links_SSP2_v2,NPi_v3,Latin America,2050,179181.953230789,19789.1075753595,42392.4985848908,52.1340709287,5.7577603065,12.3343533666,74.23736776,8.19887958,17.56375266,Aggregate
114,CD_Links_SSP2_v2,NPi_v3,Latin America,2060,287440.994551932,25958.4724004974,78979.7635626769,55.4070943222,5.0037522692,15.2241304901,73.25591474,6.61565913,20.12842613,Aggregate
115,CD_Links_SSP2_v2,NPi_v3,Latin America,2070,449363.497672942,31472.5048685202,102231.780613545,71.9911538914,5.0421139079,16.3782414211,77.06882641,5.39774376,17.53342983,Aggregate
116,CD_Links_SSP2_v2,NPi_v3,Latin America,2080,548409.349155869,36471.0285882576,131042.579069951,75.6753297103,5.0326587567,18.082642815,76.60172703,5.09426723,18.30400573,Aggregate
117,CD_Links_SSP2_v2,NPi_v3,Latin America,2090,623678.417722749,40521.4113514702,146058.777994928,75.5576490142,4.9091045793,17.6947888039,76.97276058,5.0010467,18.02619271,Aggregate
118,CD_Links_SSP2_v2,NPi_v3,Latin America,2100,698000.597236791,44443.8232149141,174360.054975954,75.3914235999,4.8004014834,18.8327242349,76.13407394,4.84768829,19.01823776,Aggregate
119,CD_Links_SSP2_v2,NPi_v3,Latin America,2110,881020.276820754,62392.5351945459,239320.370040557,84.2811850842,5.9686671748,22.8941432252,74.49019696,5.27528407,20.23451897,Aggregate
120,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2020,83156.8277085972,9090.1849096732,32461.834924792,36.891369861,4.0327340863,14.4012415045,66.68077634,7.2891259,26.03009776,Aggregate
121,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2030,117077.204902585,12089.6996893456,44989.3132268283,35.6154201266,3.6777418286,13.6859544359,67.22539475,6.94187083,25.83273442,Aggregate
122,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2040,171300.511838839,16208.4853829356,72007.1629587146,35.4669707228,3.3558911784,14.9087466994,66.00764735,6.24565552,27.74669713,Aggregate
123,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2050,298938.377977254,26016.7876105077,112362.125273883,40.4260128101,3.5183003144,15.1949466858,68.35731955,5.94917881,25.69350163,Aggregate
124,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2060,518172.144745089,42555.9914378903,223545.880126303,46.1145062751,3.7872520824,19.8943690748,66.07029354,5.42616363,28.50354283,Aggregate
125,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2070,822390.88663961,63260.459658504,324955.380488356,54.5083195147,4.1929226159,21.5381420143,67.93212597,5.22551695,26.84235708,Aggregate
126,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2080,1215498.78275088,88313.4615417389,411145.104302288,62.3004578383,4.5265113922,21.0732652303,70.87632726,5.14960104,23.9740717,Aggregate
127,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2090,1833807.00886453,131909.783291612,528941.810303632,74.7791218627,5.3790271888,21.5692294226,73.50933739,5.28768879,21.20297382,Aggregate
128,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2100,2624373.6605713,181798.281445935,679431.000497022,84.4459904756,5.8498285416,21.8624446125,75.29181332,5.21569107,19.49249561,Aggregate
129,CD_Links_SSP2_v2,NPi_v3,Middle East + Africa,2110,3720601.83930212,253100.269139455,969798.127873687,93.3546942207,6.3506118777,24.3334846333,75.26249947,5.11985955,19.61764097,Aggregate
