Model;Scenario;Region;Emissions;Total energy investment;Total energy investment (supply side);Low carbon investment;Low carbon investment (supply side);Total_inv/GDP;LC_inv/GDP;Extraction and Conversion - Fossil Fuels;Electricity - Fossil Fuels w/o CCS;Hydrogen - Fossil;Electricity - Non-bio Renewables;Hydrogen - Non-fossil;Extraction and Conversion - Bioenergy;Extraction and Conversion - Nuclear;Electricity - T&D and Storage;CCS;Energy Efficiency;Energy Supply|Electricity|Coal|w/ CCS;Energy Supply|Electricity|Coal|w/o CCS;Energy Supply|Electricity|Gas|w/ CCS;Energy Supply|Electricity|Gas|w/o CCS;Energy Supply|Electricity|Oil|w/ CCS;Energy Supply|Electricity|Biomass|w/ CCS;Energy Supply|Electricity|Biomass|w/o CCS;Energy Supply|Electricity|Nuclear;Energy Supply|Electricity|Hydro;Energy Supply|Electricity|Solar;Energy Supply|Electricity|Wind;Energy Supply|Electricity|Geothermal;Energy Supply|Electricity|Ocean;Energy Supply|Electricity|Transmission and Distribution;Energy Supply|Electricity|Electricity Storage
WITCH-GLOBIOM;2C;USA;65,44569949;276,8914062;245,3795526;132,8542166;101,3423629;1.23%;0.59%;73,06314045;3,360930143;0;48,10686347;0;9,272397437;50,69149592;25,09516653;35,78955862;31,51185367;17,02045613;2,155815269;3,408222706;1,204994463;0;9,783784477;0,126798293;50,61532231;10,24279699;23,92448196;13,93958452;0;0;25,09504612;0,000120411
WITCH-GLOBIOM;1.5C;USA;63,36006018;280,6804752;245,8297311;139,8242737;104,9735296;1.25%;0.62%;50,53427605;3,720129128;0;50,30218638;0;11,29452842;68,97753836;27,76674565;33,23432714;34,85074413;14,43855299;2,155815269;3,414983669;1,564193448;0;9,803695169;0,126798293;68,89587335;10,24279699;26,16728727;13,89210212;0;0;27,76662524;0,000120411
WITCH-GLOBIOM;CPol;R5OECD90+EU;186,4207251;689,4468856;689,4468856;212,5798609;212,5798609;1.20%;0.37%;318,397437;71,24190822;0;142,3629306;0;21,40659498;48,48842824;87,54669668;0,002889872;0;0,001444936;29,02004748;0,000481645;42,2213791;0;0,000481645;5,534511659;48,29762906;45,23053128;51,29439006;45,83800929;0;0;85,39591992;2,150776761
WITCH-GLOBIOM;NDC;R5OECD90+EU;164,7994821;693,0197839;652,0154883;318,1808564;277,1765608;1.21%;0.55%;258,2287891;33,75236866;0;193,0134698;0;26,03105286;49,99100792;90,64757114;0,351228839;41,00429559;0,001444936;8,390423694;0,000481645;25,36146332;0;0,348820612;6,068073654;49,78701583;45,23053128;89,61454933;58,16838919;0;0;88,76728967;1,88028147
WITCH-GLOBIOM;2C;R5OECD90+EU;145,6756986;738,9452816;658,911718;402,3665266;322,3329629;1.29%;0.70%;197,4715129;10,72198408;0;190,3887701;0;20,36918215;90,36269901;88,36124567;61,23632395;80,03356366;17,02153983;2,32122605;6,639855682;8,400276384;0;25,781256;1,838989851;90,14106891;45,23053128;88,93517177;56,22306709;0;0;86,07561988;2,285625798
WITCH-GLOBIOM;1.5C;R5OECD90+EU;135,4123327;734,1947698;638,0025961;467,8791012;371,6869275;1.29%;0.82%;97,22835543;11,57424223;0;217,4245945;0;33,54556792;116,5460922;102,6978721;58,98587168;96,19217373;14,43963669;2,32122605;5,577092514;9,252534536;0;25,83372238;1,394178101;116,3123652;45,23053128;109,127441;63,06662226;0;0;97,50544297;5,192429142
WITCH-GLOBIOM;CPol;R5REF;51,36333634;231,954537;231,954537;19,91561575;19,91561575;6.54%;0.56%;140,3798836;35,38474028;0;10,73256408;0;0,346700805;23,9858039;21,12412194;0,000722468;0;0,000361234;13,79178204;0,000120411;21,59283783;0;0,000120411;0,190503155;23,87811905;9,533822216;0,424390501;0,774351364;0;0;21,12400153;0,000120411
WITCH-GLOBIOM;NDC;R5REF;52,35643944;225,3895076;229,417638;18,40303342;22,43116375;6.41%;0.52%;136,3573322;35,65129642;0;12,86689281;0;0,36959687;22,38321917;21,788578;0,000722468;-4,028130324;0,000361234;13,83987511;0,000120411;21,81130091;0;0,000120411;0,211025026;22,27590362;9,533822216;1,261236406;2,071834188;0;0;21,78845758;0,000120411
WITCH-GLOBIOM;2C;R5REF;37,81424816;203,5301741;171,0066271;65,40513409;32,88158701;6.03%;1.94%;77,4793395;3,575212937;0;17,23710771;0;1,887334305;48,32380861;13,15473569;9,349088303;32,52354708;3,853763279;0,826798208;0,590458113;2,748294317;0;1,538751008;1,55253876;48,18433664;9,533822216;2,904713868;4,798571625;0;0;13,15461528;0,000120411
WITCH-GLOBIOM;1.5C;R5REF;35,47070109;215,7264656;176,6928897;76,74318646;37,70961055;6.46%;2.30%;59,81745112;3,177369071;0;17,80419747;0;4,055519568;65,48836603;15,53575169;10,8142347;39,03357591;3,872050259;0,826798208;0,591629298;2,350450452;0;1,541882355;3,481418416;65,33394131;9,533822216;3,489691828;4,780683427;0;0;15,53563128;0,000120411
